JournalEntryID,EconomicEntityIdentifier,TransactionPeriod,Account,GeneralLedgerAccountCode,TransactionDescriptionCode,Amount,Units,Rounding,Balance,EffectiveValue,Sequence,TransactionDescription,DocumentID,Flag,Key
JE-206,30810137d58f76b84afd,2024-01-16,000-5100-00,mini:CostsOfSales,mini:NetIncomeLoss,2000,iso4217:USD,2,D,2000,3,Costs related to sales on account.,,FALSE,188
JE-206,30810137d58f76b84afd,2024-01-16,000-1300-00,mini:Inventories,mini:DecreaseInInventoriesFromSales,2000,iso4217:USD,2,C,-2000,4,Costs related to sales on account.,,FALSE,189
JE-207,30810137d58f76b84afd,2024-01-20,000-1100-00,mini:CashAndCashEquivalents,mini:ProceedsFromCollectionOfReceivables,8000,iso4217:USD,2,D,8000,1,Collection of accounts receivable.,,FALSE,190
JE-207,30810137d58f76b84afd,2024-01-20,000-1200-00,mini:Receivables,mini:CollectionOfReceivables,8000,iso4217:USD,2,C,-8000,2,Collection of accounts receivable.,,FALSE,191
JE-208,30810137d58f76b84afd,2024-01-21,000-2150-00,mini:AccountsPayable,mini:DecreaseFromPaymentAccountsPayable,7000,iso4217:USD,2,D,7000,1,Payment of accounts payable.,,FALSE,192
JE-208,30810137d58f76b84afd,2024-01-21,000-1100-00,mini:CashAndCashEquivalents,mini:PaymentOfAccountsPayable,7000,iso4217:USD,2,C,-7000,2,Payment of accounts payable.,,FALSE,193
JE-209,30810137d58f76b84afd,2024-01-25,000-2300-00,mini:LongtermDebt,mini:RepaymentLongtermBorrowings,1000,iso4217:USD,2,D,1000,1,Payment of long term debt including accrued interest.,,FALSE,194
JE-209,30810137d58f76b84afd,2024-01-25,000-1100-00,mini:CashAndCashEquivalents,mini:PaymentForReductionOfLongtermBorrowings,1000,iso4217:USD,2,C,-1000,2,Payment of long term debt including accrued interest.,,FALSE,195
JE-209,30810137d58f76b84afd,2024-01-25,000-1100-00,mini:CashAndCashEquivalents,mini:PaymentOfInterest,150,iso4217:USD,2,C,-150,3,Payment of long term debt including accrued interest.,,FALSE,211
JE-209,30810137d58f76b84afd,2024-01-25,000-2160-00,mini:AccruedExpenses,mini:DecreaseFromPaymentOfInterest,150,iso4217:USD,2,D,150,4,Payment of long term debt including accrued interest.,,FALSE,196
JE-210,30810137d58f76b84afd,2024-01-24,000-5400-00,mini:InterestExpense,mini:NetIncomeLoss,150,iso4217:USD,2,D,150,1,Accrual of interest on debt.,,FALSE,197
JE-210,30810137d58f76b84afd,2024-01-24,000-2160-00,mini:AccruedExpenses,mini:InterestAccrued,150,iso4217:USD,2,C,-150,2,Accrual of interest on debt.,,FALSE,198
JE-223,30810137d58f76b84afd,2024-01-28,000-5100-00,mini:CostsOfSales,mini:NetIncomeLoss,300,iso4217:USD,2,D,300,1,"Closing entry. Inventory write offs, adjust to physical.",,FALSE,203
JE-223,30810137d58f76b84afd,2024-01-28,000-1300-00,mini:Inventories,mini:InventoryWrittenOff,300,iso4217:USD,2,C,-300,2,"Closing entry. Inventory write offs, adjust to physical.",,FALSE,204
JE-224,30810137d58f76b84afd,2024-01-28,000-5200-00,mini:DepreciationAndAmortization,mini:NetIncomeLoss,100,iso4217:USD,2,D,100,1,Closing entry. Depreciation and amortization expensed.,,FALSE,205
JE-224,30810137d58f76b84afd,2024-01-28,000-1500-00,mini:PropertyPlantAndEquipment,mini:DecreaseFromDepreciationAndAmortization,100,iso4217:USD,2,C,-100,2,Closing entry. Depreciation and amortization expensed.,,FALSE,206
JE-225,30810137d58f76b84afd,2024-01-28,000-1500-00,mini:PropertyPlantAndEquipment,mini:PropertyPlantAndEquipmentWrittenOff,0,iso4217:USD,2,D,0,1,Closing entry. Write of of PPE.,,FALSE,207
JE-225,30810137d58f76b84afd,2024-01-28,000-5500-00,mini:NonoperatingIncomeExpenses,mini:NetIncomeLoss,0,iso4217:USD,2,C,0,2,Closing entry. Write of of PPE.,,FALSE,208
JE-226,30810137d58f76b84afd,2024-01-29,000-6100-00,mini:IncomeTaxExpenseBenefit,mini:NetIncomeLoss,400,iso4217:USD,2,D,400,1,Closing entry.  Book taxes.,,FALSE,209
JE-226,30810137d58f76b84afd,2024-01-29,000-2160-00,mini:AccruedExpenses,mini:InterestAccrued,400,iso4217:USD,2,C,-400,2,Closing entry.  Book taxes.,,FALSE,210
