glAccountNumber,userDefined1,userDefined2
500-5600-00,Contract Services - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6120-00,Supplies/Rental - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6150-00,Supplies-Allocated - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6160-00,Dues & Subscriptions - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6170-00,Repairs & Maintenance - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6180-00,Rent Expense - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6190-00,Utilities Expense - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6500-00,Postage/Freight - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6510-00,Telephone - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6520-00,Travel - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
500-6530-00,Meals/Entertainment - Consulting/Training,mini:SalesGeneralAndAdministrativeExpenses
600-6150-00,Supplies-Allocated - Purchases/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6160-00,Dues & Subscriptions - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6170-00,Repairs & Maintenance - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6180-00,Rent Expense - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6190-00,Utilities Expense - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6500-00,Postage/Freight - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6510-00,Telephone - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
600-6520-00,Travel - Purchasing/Receiving,mini:SalesGeneralAndAdministrativeExpenses
999-9999-99,Transfer Suspense Account,mini:InterestExpense
