JournalEntryID,EconomicEntityIdentifier,TransactionPeriod,GeneralLedgerAccountCode,TransactionDescriptionCode,Amount,Units,Rounding,Balance,EffectiveValue,Sequence,Account,Key,TransactionDescription,Flag
JE-209,30810137d58f76b84afd,2024-01-25,mini:CashAndCashEquivalents,mini:PaymentOfInterest,150,iso4217:USD,2,C,-150,3,000-1100-00,211,Payment of long term debt including accrued interest.,FALSE
JE-204,30810137d58f76b84afd,2024-01-10,mini:Inventories,mini:PurchasesOfInventoryForSale,5000,iso4217:USD,2,D,5000,1,000-1300-00,182,Purchase of lemons to put intoinventory on account.,FALSE
JE-204,30810137d58f76b84afd,2024-01-10,mini:AccountsPayable,mini:PurchasesInventoryForSaleOnAccount,5000,iso4217:USD,2,C,-5000,2,000-2150-00,183,Purchase of lemons to put intoinventory on account.,FALSE
JE-205,30810137d58f76b84afd,2024-01-15,mini:CostsOfSales,mini:NetIncomeLoss,3000,iso4217:USD,2,D,3000,1,000-5100-00,184,Payment for  contractor to work the lemonade stand.,FALSE
JE-205,30810137d58f76b84afd,2024-01-15,mini:AccountsPayable,mini:PurchasesInventoryForSaleOnAccount,3000,iso4217:USD,2,C,-3000,2,000-2150-00,185,Payment for  contractor to work the lemonade stand.,FALSE
JE-206,30810137d58f76b84afd,2024-01-16,mini:Receivables,mini:IncreaseInReceivablesFromSalesOnAccount,8000,iso4217:USD,2,D,8000,1,000-1200-00,186,Sales on account.,FALSE
JE-206,30810137d58f76b84afd,2024-01-16,mini:Sales,mini:NetIncomeLoss,8000,iso4217:USD,2,C,-8000,2,000-4100-00,187,Sales on account.,FALSE
JE-206,30810137d58f76b84afd,2024-01-16,mini:CostsOfSales,mini:NetIncomeLoss,2000,iso4217:USD,2,D,2000,3,000-5100-00,188,Costs related to sales on account.,FALSE
JE-206,30810137d58f76b84afd,2024-01-16,mini:Inventories,mini:DecreaseInInventoriesFromSales,2000,iso4217:USD,2,C,-2000,4,000-1300-00,189,Costs related to sales on account.,FALSE
JE-207,30810137d58f76b84afd,2024-01-20,mini:CashAndCashEquivalents,mini:ProceedsFromCollectionOfReceivables,8000,iso4217:USD,2,D,8000,1,000-1100-00,190,Collection of accounts receivable.,FALSE
JE-207,30810137d58f76b84afd,2024-01-20,mini:Receivables,mini:CollectionOfReceivables,8000,iso4217:USD,2,C,-8000,2,000-1200-00,191,Collection of accounts receivable.,FALSE
JE-208,30810137d58f76b84afd,2024-01-21,mini:AccountsPayable,mini:DecreaseFromPaymentAccountsPayable,7000,iso4217:USD,2,D,7000,1,000-2150-00,192,Payment of accounts payable.,FALSE
JE-208,30810137d58f76b84afd,2024-01-21,mini:CashAndCashEquivalents,mini:PaymentOfAccountsPayable,7000,iso4217:USD,2,C,-7000,2,000-1100-00,193,Payment of accounts payable.,FALSE
JE-209,30810137d58f76b84afd,2024-01-25,mini:LongtermDebt,mini:RepaymentLongtermBorrowings,1000,iso4217:USD,2,D,1000,1,000-2300-00,194,Payment of long term debt including accrued interest.,FALSE
JE-209,30810137d58f76b84afd,2024-01-25,mini:CashAndCashEquivalents,mini:PaymentForReductionOfLongtermBorrowings,1000,iso4217:USD,2,C,-1000,2,000-1100-00,195,Payment of long term debt including accrued interest.,FALSE
JE-209,30810137d58f76b84afd,2024-01-25,mini:AccruedExpenses,mini:DecreaseFromPaymentOfInterest,150,iso4217:USD,2,D,150,4,000-2160-00,196,Payment of long term debt including accrued interest.,FALSE
JE-210,30810137d58f76b84afd,2024-01-24,mini:InterestExpense,mini:NetIncomeLoss,150,iso4217:USD,2,D,150,1,000-5400-00,197,Accrual of interest on debt.,FALSE
